event_date,event_type,num_events_received,num_events_responded,num_events_sla_breach
8/1/16,incidents,0,1,0
8/2/16,incidents,2,1,0
8/3/16,incidents,3,1,0
8/4/16,incidents,0,1,0
8/5/16,incidents,0,0,1
8/6/16,incidents,0,0,2
8/7/16,incidents,1,0,0
8/8/16,incidents,0,0,0
8/9/16,incidents,1,3,0
8/10/16,incidents,0,4,0
8/11/16,incidents,0,5,0
8/12/16,incidents,0,0,1
8/13/16,incidents,0,0,1
8/14/16,incidents,0,0,1
8/15/16,incidents,0,0,1
8/16/16,incidents,0,0,1
8/17/16,incidents,1,0,1
8/18/16,incidents,1,4,1
8/19/16,incidents,1,4,0
8/20/16,incidents,1,0,0
8/21/16,incidents,1,0,0
8/22/16,incidents,1,2,0
8/23/16,incidents,2,2,0
8/24/16,incidents,2,2,0
8/25/16,incidents,2,3,0
8/26/16,incidents,2,0,6
8/27/16,incidents,5,0,7
8/28/16,incidents,0,0,0
8/29/16,incidents,5,0,0
8/30/16,incidents,5,0,4
8/31/16,incidents,5,1,5
